101065639RR0001,41639,4,4,,,,,,,,,4,59964,59964
101069029RR0001,41578,1,,1,,,,,,,,4,22205,77351
101069532RR0001,41364,,,,,,,,,,,,,
101071777RR0001,41639,25,,9,1,,,,,,,45,336441,1655398
101071934RR0001,41364,21,9,1,,,,,,,,5,13176,431210
101072049RR0001,41639,1,1,,,,,,,,,,,8589
101072098RR0001,41455,12,7,2,1,,,,,,,4,13990,472949
101072106RR0001,41639,1,,,,,,,,,,7,206122,289122
101072239RR0001,41364,32,7,3,,,,,,,,27,259135,1317674
101072254RR0001,41364,10,9,1,,,,,,,,110,818752,1172612
101072361RR0001,41639,3,2,1,,,,,,,,5,61759,144398
101074607RR0001,41455,9,7,2,,,,,,,,53,87910,521076
101074953RR0001,41608,12,,9,1,,,,,,,11,215511,1349625
101076099RR0001,41364,2,,2,,,,,,,,,,75380
101079200RR0001,41639,15,10,,,,,,,,,6,84204,89869
101094266RR0001,41394,,,,,,,,,,,,,
101094274RR0001,41517,,,,,,,,,,,,,
101094282RR0001,41517,,,,,,,,,,,,,
101098234RR0001,41517,9,1,7,1,,,,,,,,,456874
101098275RR0001,41517,8,7,1,,,,,,,,15,124367,242778
101136885RR0001,41455,,,,,,,,,,,,,
101144541RR0001,41517,,,,,,,,,,,3,50113,50113
101151520RR0001,41364,2,1,1,,,,,,,,,,84953
101157659RR0001,41639,2,2,,,,,,,,,7,111448,160153
101159564RR0001,41639,,,,,,,,,,,4,55294,55294
101160604RR0001,41639,,,,,,,,,,,,,
101161073RR0001,41394,7,6,1,,,,,,,,94,224378,547002
101161115RR0001,41639,12,7,4,1,,,,,,,16,44707,600582
101161123RR0001,41639,1,,1,,,,,,,,1,4210,53285
101161776RR0001,41639,5,5,,,,,,,,,30,38847,235986
101161792RR0001,41364,2,2,,,,,,,,,,,84414
101162147RR0001,41639,,,,,,,,,,,,,
101171627RR0001,41639,,,,,,,,,,,,,
101200319RR0001,41364,2,,2,,,,,,,,1,13429,142394
101203941RR0001,41455,23,6,4,,,,,,,,19,47251,874836
101205888RR0001,41364,38,,9,1,,,,,,,43,,2858206
101205904RR0001,41639,5,3,1,,1,,,,,,7,72044,389971
101214716RR0001,41639,11,2,,,,,,,,,10,83322,133365
101258010RR0001,41455,1,,1,,,,,,,,,,46202
101258077RR0001,41517,4,,3,1,,,,,,,7,130620,351456
101264760RR0001,41455,1,,,,,,,,,,3,6288,41846
101266781RR0001,41639,13,7,3,,,,,,,,8,15520,494831
101278349RR0001,41364,6,5,1,,,,,,,,4,10622,176644
101278414RR0001,41455,1,,1,,,,,,,,12,81786,144385
101286029RR0001,41639,,,,,,,,,,,,,
101298719RR0001,41364,,,,,,,,,,,,,
101323392RR0001,41639,2,2,,,,,,,,,4,19400,62400
101354322RR0001,41364,2,1,1,,,,,,,,2,24465,118696
101397644RR0001,41364,323,,6,3,1,,,,,,325,3688904,14365087
101410512RR0001,41639,10,9,1,,,,,,,,13,126356,377245
101436061RR0001,41562,,,,,,,,,,,1,11709,11709
101469609RR0001,41364,5,,4,,1,,,,,,1,3683,404692
101476083RR0001,41364,16,8,2,,,,,,,,17,117532,762042
101497618RR0001,41639,69,2,6,2,,,,,,,53,1012136,1758959
101522415RR0001,41639,3,,3,,,,,,,,2,147797,305345
101538502RR0001,41364,,,,,,,,,,,29,,387888
101544351RR0001,41639,1,,1,,,,,,,,16,129646,172014
101546588RR0001,41425,25,,8,2,,,,,,,11,19233,1587514
101560571RR0001,41455,26,,9,1,,,,,,,8,93645,1627439
101562197RR0001,41455,,,,,,,,,,,,,
101562247RR0001,41455,1,,,,,,,,,,10,111200,142200
101562841RR0001,41455,22,18,,,,,,,,,6,5000,890579
101562874RR0001,41455,81,20,35,26,,,,,,,109,299330,5385480
101563096RR0001,41639,4,3,1,,,,,,,,11,34897,206847
101569697RR0001,41364,1,,1,,,,,,,,1,16695,81959
101574093RR0001,41364,2,2,,,,,,,,,,,56768
